"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","degree.layout","Eccentricity","IsSingleNode","Kmeans","MCODE_Cluster","MCODE_Node_Status","MCODE_Score","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","Ortholog","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","X_Code"
"3.224","0.005241941876204952","0.31017369727047145","0.7666666666666667","21","21","6","false","Cluster 3","Cluster 1","Clustered","13.359477124183007","CG31343","18.285714285714285","0","21","Human","0","0.9414736842105262","false","0","CG31343","5302","0.4155844155844156",""
"4.072","0.0","0.2455795677799607","1.0","2",,"7","false","Cluster 3","","Unclustered","2.0","CG6340","8.5","0","2","Human","0","0.9191578947368421","false","0","CG6340","0","0.7083333333333334",""
"2.752","0.0019313087195384582","0.36337209302325585","0.6894736842105263","20","20","5","false","","Cluster 1","Clustered","9.9","ScsbetaG","24.5","0","20","Human","0","0.9538947368421052","false","0","ScsbetaG","1882","0.2722222222222222",""
"3.4","1.7876826574844456E-4","0.29411764705882354","0.0","3",,"6","false","Cluster 3","","Unclustered","0.5","CG10333","12.333333333333334","0","3","Human","0","0.9368421052631579","false","0","CG10333","72","0.40476190476190477",""
"3.816","0.0","0.2620545073375262","0.0","1",,"6","false","Cluster 3","","Unclustered","0.0","C1GalTA","14.0","0","1","Human","0","0.9258947368421052","false","0","C1GalTA","0","0.0","Male"
"2.828","0.0042999347544336805","0.3536067892503536","0.3090909090909091","11",,"6","false","","","Unclustered","4.761904761904762","Vps4","22.545454545454547","0","11","Human","0","0.9518947368421052","false","0","Vps4","2668","0.2512768130745659",""
"4.076","0.0","0.24533856722276745","0.0","1",,"7","false","Cluster 3","","Unclustered","0.0","sprt","7.0","0","1",,"0","0.9190526315789473","false","0","sprt","0","0.0",""
"3.172","0.0","0.31525851197982346","1.0","4",,"6","false","Cluster 3","","Unclustered","4.0","by","20.75","0","4","Human","0","0.9428421052631579","false","0","by","0","0.46111111111111114",""
"3.34","1.6085149143065978E-4","0.29940119760479045","0.7333333333333333","6","6","6","false","Cluster 3","Cluster 6","Clustered","3.7333333333333334","CG14767","17.0","0","6","Human","0","0.9384210526315788","false","0","CG14767","94","0.38636363636363635",""
"2.984","0.0010622253518734535","0.3351206434316354","0.7193675889328063","23","23","6","false","Cluster 3","Cluster 1","Clustered","11.32748538011696","Kr-h2","23.82608695652174","0","23","Human","0","0.9477894736842105","false","0","Kr-h2","1184","0.378191856452726",""
"3.512","1.6891592377834904E-4","0.2847380410022779","0.6666666666666666","4",,"6","false","Cluster 3","","Unclustered","3.0","Hnf4","14.75","0","4","Human","0","0.9338947368421052","false","0","Hnf4","114","0.4609375",""
"4.14","0.0","0.24154589371980678","0.0","1",,"7","false","Cluster 3","","Unclustered","0.0","twit","6.0","0","1",,"0","0.9173684210526316","false","0","twit","0","0.0","Female"
"2.912","0.008496598433350338","0.3434065934065934","0.4642857142857143","8","8","6","false","Cluster 3","Cluster 5","Clustered","5.0","Vha44","17.375","0","8","Human","0","0.9496842105263158","false","0","Vha44","3790","0.238013698630137",""
"2.72","0.01628159257125981","0.3676470588235294","0.2692307692307692","13","13","6","false","","Cluster 2","Clustered","2.5555555555555554","p53","16.692307692307693","0","13","Human","0","0.9547368421052632","false","0","p53","6402","0.18174133558748942",""
"2.904","0.0172879952680285","0.34435261707988984","0.3974358974358974","13","13","6","false","","Cluster 6","Clustered","3.75","Vha55","11.307692307692308","0","13","Human","0","0.9498947368421053","false","0","Vha55","7428","0.16276477146042365",""
"3.536","0.0","0.2828054298642534","0.0","1",,"5","false","Cluster 3","","Unclustered","0.0","milt","16.0","0","1","Human","0","0.9332631578947368","false","0","milt","0","0.0",""
"4.228","0.0","0.23651844843897826","0.0","1",,"7","false","Cluster 3","","Unclustered","0.0","CG17027","17.0","0","1","Human","0","0.9150526315789473","false","0","CG17027","0","0.0","Female"
"3.064","0.005475931672777093","0.3263707571801567","0.3787878787878788","12","12","5","false","","Cluster 6","Seed","5.0","Syb","14.666666666666666","0","12","Human","0","0.9456842105263158","false","0","Syb","2392","0.2328042328042328",""
"3.468","6.336456938866577E-5","0.28835063437139563","0.8333333333333334","4",,"6","false","Cluster 3","","Unclustered","2.7","alphaSnap","10.75","0","4","Human","0","0.9350526315789472","false","0","alphaSnap","14","0.41346153846153844",""
"4.224","0.0","0.23674242424242423","0.0","1",,"7","false","Cluster 3","","Unclustered","0.0","Picot","17.0","0","1","Human","0","0.9151578947368421","false","0","Picot","0","0.0",""
"2.76","0.009617876475704742","0.3623188405797102","0.3181818181818182","12","12","5","false","","Cluster 2","Clustered","2.4444444444444446","Pvr","16.916666666666668","0","12","Human","0","0.9536842105263158","false","0","Pvr","3860","0.1799645390070922",""
"3.64","0.0","0.2747252747252747","0.0","1",,"6","false","Cluster 3","","Unclustered","0.0","shd","23.0","0","1","Human","0","0.9305263157894736","false","0","shd","0","0.0","Female"
"3.256","0.0010518549959135824","0.30712530712530717","0.0","2",,"6","false","Cluster 3","","Unclustered","0.6666666666666666","drl","19.0","0","2","Human","0","0.9406315789473684","false","0","drl","378","0.5",""
"4.244","0.0","0.235626767200754","1.0","2",,"7","false","Cluster 3","","Unclustered","2.0","Pli","17.0","0","2","Human","0","0.9146315789473685","false","0","Pli","0","0.8947368421052632",""
"2.996","6.45562711875201E-4","0.33377837116154874","0.0","5",,"6","false","Cluster 3","","Unclustered","0.3333333333333333","HnRNP-K","18.6","0","5","Human","0","0.9474736842105262","false","0","HnRNP-K","408","0.2838709677419355","Male"
"3.7","0.02412695472012742","0.27027027027027023","0.0","3",,"6","false","Cluster 3","","Unclustered","0.5","VGlut","6.0","0","3","Human","0","0.9289473684210525","false","0","VGlut","6258","0.3333333333333333",""
"2.908","0.03620207804501869","0.343878954607978","0.543859649122807","19","19","5","false","Cluster 3","Cluster 1","Clustered","11.657142857142857","Fer1HCH","17.789473684210527","0","19","Human","0","0.9497894736842105","false","0","Fer1HCH","17180","0.23968705547652916",""
"3.168","4.598819405942487E-4","0.31565656565656564","0.3333333333333333","4",,"6","false","Cluster 3","","Unclustered","1.6666666666666667","Sam-S","18.25","0","4","Human","0","0.9429473684210526","false","0","Sam-S","238","0.36",""
"3.244","1.7486524486253188E-4","0.3082614056720098","0.3333333333333333","3",,"6","false","Cluster 3","","Unclustered","2.0","Kcmf1","18.333333333333332","0","3","Human","0","0.9409473684210526","false","0","Kcmf1","124","0.46153846153846156",""
"4.036","0.0","0.24777006937561946","0.0","1",,"6","false","Cluster 3","","Unclustered","0.0","wun","10.0","0","1","Human","0","0.9201052631578946","false","0","wun","0","0.0",""
"3.08","0.004390178397449843","0.3246753246753247","0.25","8","8","6","false","","Cluster 3","Clustered","3.0","norpA","11.75","0","8","Human","0","0.9452631578947369","false","0","norpA","1374","0.19375",""
"3.004","0.009289229938338826","0.33288948069241014","0.23809523809523808","7","7","5","false","","Cluster 3","Clustered","3.0","trp","13.428571428571429","0","7","Human","0","0.9472631578947369","false","0","trp","3142","0.20861678004535147",""
"2.54","0.04418781853794488","0.39370078740157477","0.11067193675889328","23",,"5","false","","","Unclustered","0.8823529411764706","foxo","13.304347826086957","0","23","Human","0","0.9594736842105264","false","0","foxo","17128","0.10887531440891125","Female"
"3.92","0.0031526959883402044","0.25510204081632654","0.5","5","5","7","false","Cluster 3","Cluster 4","Clustered","2.7","VhaAC45","5.6","0","5","Human","0","0.9231578947368421","false","0","VhaAC45","1376","0.3375",""
"4.74","0.0","0.21097046413502107","0.0","1",,"7","false","Cluster 3","","Unclustered","0.0","CG34404","2.0","0","1","Human","0","0.901578947368421","false","0","CG34404","0","0.0",""
"4.076","0.0","0.24533856722276745","0.0","1",,"7","false","Cluster 3","","Unclustered","0.0","Ptp36E","7.0","0","1","Human","0","0.9190526315789473","false","0","Ptp36E","0","0.0",""
"2.932","0.0062835843116707465","0.34106412005457026","0.2222222222222222","9","9","6","false","Cluster 3","Cluster 3","Clustered","3.0","Dredd","15.88888888888889","0","9","Human","0","0.9491578947368421","false","0","Dredd","2462","0.19009370816599733",""
"3.632","0.009184257963679254","0.2753303964757709","0.4","6","6","7","false","","Cluster 4","Clustered","2.7","Vha100-1","6.666666666666667","0","6","Human","0","0.9307368421052632","false","0","Vha100-1","3646","0.26666666666666666",""
"4.536","0.0","0.22045855379188714","1.0","3","3","8","false","Cluster 3","Cluster 4","Seed","3.0","VhaM9.7-b","5.0","0","3","Human","0","0.9069473684210526","false","0","VhaM9.7-b","0","0.7142857142857143",""
"3.364","0.004354948053541607","0.2972651605231867","0.8304093567251462","19","19","6","false","Cluster 3","Cluster 1","Clustered","13.099415204678362","Yp1","18.63157894736842","0","19","Human","0","0.9377894736842106","false","0","Yp1","2044","0.5160818713450293",""
"3.324","3.06729311596542E-4","0.3008423586040915","0.8333333333333334","4",,"6","false","Cluster 3","","Unclustered","2.7","exex","17.25","0","4","Human","0","0.9388421052631579","false","0","exex","240","0.4011627906976744",""
"3.86","0.0","0.2590673575129534","0.0","1",,"6","false","Cluster 3","","Unclustered","0.0","Hmgcr","13.0","0","1","Human","0","0.9247368421052632","false","0","Hmgcr","0","0.0",""
"2.792","0.017523120365568873","0.35816618911174786","0.5073529411764706","17","17","5","false","","Cluster 1","Clustered","10.0","FASN1","21.647058823529413","0","17","Human","0","0.9528421052631578","false","0","FASN1","7612","0.2556022408963585","Female"
"3.04","0.028928526108110038","0.32894736842105265","0.022222222222222223","10",,"5","false","","Cluster 8","Clustered","2.0","pbl","8.2","0","10","Human","0","0.9463157894736842","false","0","pbl","9178","0.13454545454545455",""
"3.256","1.1318067948239751E-5","0.30712530712530717","0.967032967032967","14","14","6","false","","Cluster 1","Clustered","11.657142857142857","CG31729","24.785714285714285","0","14","Human","0","0.9406315789473684","false","0","CG31729","16","0.5163690476190477",""
"2.796","0.01485439716618534","0.357653791130186","0.2909090909090909","11",,"5","false","","","Unclustered","1.6","park","13.636363636363637","0","11","Human","0","0.9527368421052632","false","0","park","5272","0.16319824753559695",""
"3.08","0.016210371993343672","0.3246753246753247","0.3181818181818182","12","12","6","false","","Cluster 5","Clustered","5.0","Pcyt2","9.416666666666666","0","12","Human","0","0.9452631578947369","false","0","Pcyt2","6168","0.1761006289308176",""
"4.68","0.015967871485943776","0.2136752136752137","0.0","3",,"7","false","Cluster 3","","Unclustered","0.5","Ih","1.6666666666666667","0","3","Human","0","0.9031578947368422","false","0","Ih","4130","0.3333333333333333",""
"5.676","0.0","0.17618040873854826","0.0","1",,"8","false","Cluster 3","","Unclustered","0.0","Ork1","3.0","0","1","Human","0","0.8769473684210526","false","0","Ork1","0","0.0",""
"4.312","0.0","0.23191094619666047","0.0","1",,"6","false","Cluster 3","","Unclustered","0.0","Syt7","5.0","0","1","Human","0","0.912842105263158","false","0","Syt7","0","0.0",""
"3.744","0.008","0.2670940170940171","0.0","2",,"6","false","Cluster 3","","Unclustered","0.6666666666666666","Syn2","6.0","0","2","Human","0","0.9277894736842105","false","0","Syn2","2016","0.5",""
"2.436","0.04708768864931644","0.41050903119868637","0.4096728307254623","38","38","5","false","","Cluster 1","Clustered","11.509881422924902","SERCA","21.63157894736842","0","38","Human","0","0.9622105263157895","false","0","SERCA","21344","0.16879111842105263",""
"2.6","0.021230052939313866","0.3846153846153846","0.19047619047619047","15","15","6","false","","Cluster 3","Clustered","3.0476190476190474","Rac1","16.066666666666666","0","15","Human","0","0.9578947368421052","false","0","Rac1","9644","0.14753086419753086",""
"4.172","0.0","0.23969319271332695","1.0","7",,"7","false","Cluster 3","","Unclustered","7.0","CG31198","20.428571428571427","0","7","Human","0","0.9165263157894737","false","0","CG31198","0","0.9285714285714286",""
"3.256","0.005704307885909282","0.30712530712530717","0.5357142857142857","8","8","6","false","","Cluster 5","Clustered","5.0","CG8888","10.875","0","8","Human","0","0.9406315789473684","false","0","CG8888","3198","0.25892857142857145",""
"2.952","0.0036693193567145727","0.33875338753387535","0.7473684210526316","20","20","6","false","","Cluster 1","Clustered","12.235294117647058","Kdsr","24.65","0","20","Human","0","0.9486315789473685","false","0","Kdsr","2106","0.37272727272727274",""
"4.076","0.0","0.24533856722276745","0.0","1",,"7","false","Cluster 3","","Unclustered","0.0","lama","7.0","0","1","Human","0","0.9190526315789473","false","0","lama","0","0.0",""
"3.52","0.0025614001661612316","0.2840909090909091","0.1","5",,"6","false","Cluster 3","Cluster 8","Clustered","2.0","Rtnl1","8.2","0","5","Human","0","0.9336842105263157","false","0","Rtnl1","742","0.24516129032258063",""
"3.6","0.0","0.2777777777777778","1.0","2",,"6","false","Cluster 3","","Unclustered","2.0","dnr1","11.0","0","2","Human","0","0.9315789473684211","false","0","dnr1","0","0.5789473684210527",""
"4.244","0.0","0.235626767200754","1.0","2",,"7","false","Cluster 3","","Unclustered","2.0","Cyp4ac1","7.5","0","2","Human","0","0.9146315789473685","false","0","Cyp4ac1","0","0.8333333333333334",""
"3.792","0.0","0.26371308016877637","0.0","1",,"6","false","Cluster 3","","Unclustered","0.0","CG3662","11.0","0","1","Human","0","0.9265263157894736","false","0","CG3662","0","0.0",""
"3.288","0.012148629517814116","0.30413625304136255","0.4642857142857143","8","8","6","false","","Cluster 5","Clustered","5.0","Vha14-1","10.0","0","8","Human","0","0.9397894736842106","false","0","Vha14-1","5650","0.25",""
"2.768","0.012172748631307748","0.36127167630057805","0.25","8","8","5","false","Cluster 3","Cluster 2","Clustered","2.4000000000000004","Marf","17.0","0","8","Human","0","0.9534736842105263","false","0","Marf","4986","0.18892045454545456",""
"3.988","0.0","0.25075225677031093","1.0","2",,"7","false","Cluster 3","","Unclustered","2.0","CG8814","13.0","0","2","Human","0","0.9213684210526316","false","0","CG8814","0","0.5416666666666666",""
"3.2","0.005749062053800898","0.3125","0.7532467532467533","22","22","6","false","Cluster 3","Cluster 1","Clustered","13.099415204678362","CG16826","18.272727272727273","0","22",,"0","0.9421052631578947","false","0","CG16826","6090","0.38878143133462284","Female"
"3.08","0.026623233102986855","0.3246753246753247","0.0","7",,"6","false","","","Unclustered","0.25","ttk","9.428571428571429","0","7","Human","0","0.9452631578947369","false","0","ttk","5884","0.1620879120879121",""
"4.488","0.0","0.2228163992869875","0.0","1",,"7","false","Cluster 3","","Unclustered","0.0","CG31522","6.0","0","1","Human","0","0.9082105263157895","false","0","CG31522","0","0.0",""
"3.316","0.010791342342400305","0.3015681544028951","0.0","5",,"5","false","","","Unclustered","0.3333333333333333","Syt1","6.6","0","5","Human","0","0.9390526315789473","false","0","Syt1","2666","0.2","Male"
"3.716","0.0","0.2691065662002153","0.0","1",,"7","false","Cluster 3","","Unclustered","0.0","140up","13.0","0","1","Human","0","0.9285263157894736","false","0","140up","0","0.0",""
"3.756","0.0","0.26624068157614483","0.0","1",,"7","false","Cluster 3","","Unclustered","0.0","Damm","15.0","0","1","Human","0","0.9274736842105263","false","0","Damm","0","0.0",""
"2.936","0.010397097810303286","0.34059945504087197","0.13333333333333333","6",,"5","false","Cluster 3","Cluster 8","Clustered","1.6666666666666667","lqf","15.666666666666666","0","6","Human","0","0.9490526315789474","false","0","lqf","3556","0.21666666666666667",""
