FlyBase.ID,Symbol,FB_Day5,FB_Day7,FB_Day14,FB_Day21,FB_Day28,FB_Day35,FB_Day42,FB_Day49,FB_Day56,FB_Day63,FB_Day70,FH_Day5,FH_Day7,FH_Day14,FH_Day21,FH_Day28,FH_Day35,FH_Day42,FH_Day49,FH_Day56,FH_Day63,FH_Day70,MB_Day5,MB_Day7,MB_Day14,MB_Day21,MB_Day28,MB_Day35,MB_Day42,MB_Day49,MB_Day56,MB_Day63,MB_Day70,MH_Day5,MH_Day7,MH_Day14,MH_Day21,MH_Day28,MH_Day35,MH_Day42,MH_Day49,MH_Day56,MH_Day63,MH_Day70
FBgn0013469,klu,9.39431,11.45716,12.52094,12.23494,17.16684,14.71247,14.59883,14.95271,17.96543,17.47117,20.29835,8.274881,7.99675,9.049452,7.675481,11.505505,10.557068,9.651146,9.851815,11.474455,13.34994,14.45917,19.65134,24.6285,30.29051,21.30705,25.62856,40.00279,25.55558,24.37374,24.88964,34.08013,31.96576,12.26331,15.91668,18.45543,14.38368,18.21224,18.36752,13.08605,16.2768,17.15479,17.16128,22.57422
FBgn0026015,Top3?,40.89907,48.49171,62.1193,72.29072,78.78721,84.46467,71.75032,76.29977,74.97963,78.92538,68.87896,31.65608,38.63654,38.17037,46.51016,45.42012,52.10838,55.65199,77.53723,55.81179,62.54559,54.74605,39.80683,36.49764,49.62118,52.20128,57.03542,68.99389,54.49901,50.89283,50.4068,56.16067,56.31236,37.49009,46.26786,53.22839,63.72713,59.37029,61.65698,54.31513,51.52746,51.21592,47.48026,52.45231
FBgn0283461,Drs,251.3433,292.368,417.6049,246.4836,177.2894,426.2371,501.5004,885.2753,634.5162,628.919,483.8658,48.69221,29.93704,22.94453,188.6459,198.42215,201.1482,594.69305,1047.19245,1225.0334,835.47565,840.16355,122.66553,32.2469,44.53614,201.32246,42.30953,80.40417,392.2172,270.2411,317.2306,225.88665,204.48955,167.0112,27.53043,19.61544,176.07964,52.69523,91.54725,204.37005,551.8569,599.58365,370.25805,298.2935
FBgn0263770,CR43687,1.248351,1.907723,1.824385,2.911013,5.651848,4.090686,3.082507,3.321133,3.25162,2.247454,3.435359,1.045631,0.535392,0.269403,0.400899,1.748085,1.568689,1.442995,2.673428,2.087938,2.07086,1.985348,1.942437,2.202315,0.89419,2.096219,2.313111,3.112634,4.363557,2.171883,1.743851,2.43635,3.245227,0.704583,1.296585,1.167637,1.406193,0.898036,1.754343,1.3081,1.409641,0.852062,1.055222,1.882225
FBgn0031646,snsl,1.918027,1.067488,1.937113,0.878116,0.858574,1.621131,1.265248,1.236018,0.821661,1.267323,0.682062,2.093075,1.98993,2.613542,1.885013,2.293645,1.890827,1.238327,1.359135,1.699784,1.746079,1.286634,2.895976,2.694965,1.398865,2.882701,0.940256,1.977551,1.666159,1.331056,1.050032,1.325701,1.247968,8.014344,6.550666,6.222799,6.133991,5.906743,4.724114,3.885767,5.380913,3.470289,2.365078,3.135008
FBgn0031950,Herp,107.8116,130.796,142.2808,163.8696,148.5822,141.8986,141.9403,113.3496,108.8884,109.5548,103.3162,63.87766,82.5538,68.85554,79.109,77.33401,80.18089,77.89946,79.58154,77.67615,74.40358,69.43965,122.86816,150.12425,144.26358,167.46918,128.95904,134.94124,125.22277,139.7065,111.41079,96.84471,110.84064,92.33997,79.14041,77.71645,79.63432,87.72824,80.1763,76.16914,83.78498,66.64149,74.09141,76.03679
FBgn0031683,CG4230,33.71876,38.0929,41.10948,42.41683,41.34145,39.24286,33.71938,27.32898,23.39564,23.33611,24.15429,65.56264,72.1743,57.42191,60.53085,54.1042,53.67559,45.92198,47.95421,42.92141,40.41792,42.01693,43.58475,43.02498,40.44233,36.79344,36.72817,38.34546,29.58798,24.57635,25.99956,21.95789,25.93193,103.55815,96.70997,98.21632,81.4912,83.07024,78.81046,60.19629,58.32959,57.21075,50.17272,58.77083
FBgn0035092,Nplp1,15.74986,23.49339,23.10477,18.67233,31.17669,24.93132,27.41253,24.05417,18.48645,18.51156,21.68534,59.73403,66.18577,53.33349,53.22348,50.59454,48.20455,40.76561,29.89692,32.68704,27.51722,34.57037,49.20126,46.9263,45.21149,33.09105,43.73992,56.89574,42.04592,33.98724,26.6003,25.86039,28.09758,89.08324,96.33603,117.87775,89.78525,111.01238,101.6154,49.81137,44.87883,54.67366,35.4344,51.54543
FBgn0036030,Prps,102.98725,141.0337,97.58969,81.77277,122.98345,137.3096,144.2903,113.38656,154.64035,157.481,161.29045,209.2965,178.2556,187.5,211.7997,154.9126,178.3911,264.334,203.1165,308.6609,365.3309,335.8503,230.9803,167.517,242.7268,121.868,157.4934,229.8611,198.0368,169.8375,191.2728,313.6137,313.6524,212.9692,210.1455,286.7477,215.9918,215.3478,229.8284,183.8011,313.1717,293.2186,348.8037,368.1881
FBgn0039882,Rift,62.31183,74.25402,70.58187,79.93822,58.50393,51.9487,50.95748,49.2774,51.23542,45.83667,44.3206,30.23931,35.50117,31.08467,32.27161,32.57287,31.71352,31.40912,31.93785,30.35629,25.71634,27.30053,52.81731,56.17864,43.63311,49.33645,45.69637,37.31515,36.70566,40.1496,36.31508,36.03785,34.05022,44.85646,41.54487,32.27481,33.43115,32.2259,30.68231,36.37736,31.5263,27.70175,30.59227,29.67123
FBgn0036143,CG14142,0.902115,1.181235,1.461169,1.455926,1.798538,1.539403,2.205827,1.786016,1.580646,1.610271,1.522885,23.764965,21.45646,17.717055,16.283475,16.91049,14.76099,15.410065,10.659625,13.206335,8.945492,10.740615,0.719199,3.439835,1.704144,3.539336,1.669998,1.091737,2.025239,1.624527,2.272857,1.287887,1.372048,21.30176,19.45146,23.249555,13.87647,23.28173,22.937515,9.2063,8.969429,12.983424,9.482132,14.969335
FBgn0031805,Nepl4,54.66198,73.98732,61.34618,61.79592,36.88091,31.65642,34.95951,26.51199,23.55752,23.70117,18.76028,38.27587,55.16434,56.21665,48.16294,52.99674,60.40294,46.18729,42.95755,33.90594,33.75908,21.88489,25.099975,20.106474,19.564663,20.251612,14.914862,9.472866,7.786545,8.562226,9.755939,12.291559,8.425672,25.00376,36.71622,18.65662,25.67157,24.94153,15.1568,15.32827,14.73082,15.14045,10.59303,10.01824
