Symbol,Day5,Day7,Day14,Day21,Day28,Day35,Day42,Day49,Day56,Day63,Day70
CG9577,45.37481,41.32516,40.62995,40.52463,29.13619,29.42815,20.06127,22.47078,19.20354,22.54744,17.83154
obst-A,13.323002,9.500036,7.039533,6.622491,4.540639,6.491941,3.231167,5.776094,5.912061,5.575879,4.413899
Obp19a,0,0.052963,0.346366,0,0.219,1.124664,0.113278,0.703827,0.611413,0.509641,0.315103
Obp19b,60.89155,36.65088,42.84658,39.41391,33.21849,45.72784,22.70343,23.44404,23.86884,33.39464,25.70903
CG1532,167.6414,144.107,117.86008,111.0554,81.25138,65.82603,57.54438,59.05505,55.72464,54.29785,46.92958
CG1718,236.239,233.0403,225.6723,213.6694,186.7676,173.1087,179.1234,154.3663,126.0981,128.6784,163.6961
Cyp6t1,35.47023,36.77311,30.36812,34.54774,24.98985,19.01669,15.57896,17.09393,17.86912,15.53978,16.4148
CG14615,74.19449,73.61744,68.184,68.34396,52.48271,61.36206,40.64035,43.46549,32.10298,33.94992,30.17951
CG12446,0.625617,0.419504,0.198365,0.612064,0.546728,0.967103,1.361842,1.706328,6.65372,10.893117,42.523173
CG11377,37.34117,44.4377,54.36147,48.19186,34.30528,39.25751,39.62389,37.80049,28.37607,27.67925,29.34111
ND-15,203.47481,113.16157,84.04614,87.35148,72.28528,60.11452,57.79691,58.51617,61.74297,89.77316,62.21813
CG11617,28.48584,24.840021,17.152915,13.134106,15.154143,17.878264,9.448167,10.900284,5.846956,5.990428,6.515158
CG3625,74.66249,70.937,64.95346,75.79364,54.78359,45.15852,41.14024,45.12188,39.31095,44.21185,34.983
CG11912,46.127916,59.953204,66.478531,44.728763,36.986513,27.786769,11.597949,13.737114,9.553912,9.313808,6.309423
CG11911,586.85421,645.35016,627.58883,554.66277,339.9134,302.40388,134.51565,120.06998,101.71433,82.99666,51.38392
Ipk2,12.38564,10.98751,13.60414,14.91106,14.884,14.08771,15.83939,16.03102,14.00126,17.5342,22.58006
