FBgn,Label,N,NObsUsed,NObsRead,SumFreqsUsed,SumFreqsRead,Label1,nvalue1,DependentVariables
FBgn0000448,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000448,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000449,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000449,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000451,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000451,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000454,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000454,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000455,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000455,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000459,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000459,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000463,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000463,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000464,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000464,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000473,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000473,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000477,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000477,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000479,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000479,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000482,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000482,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000489,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000489,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000490,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000490,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000492,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000492,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000499,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000499,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000500,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000500,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000504,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000504,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000520,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000520,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000524,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000524,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000527,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000527,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000529,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000529,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000533,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000533,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000535,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000535,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000536,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000536,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000541,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000541,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000542,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000542,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000543,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000543,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000546,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000546,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000547,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
FBgn0000547,Number of Observations Used,132,132,132,132,132,Number of Observations Used,132,Expression
FBgn0000551,Number of Observations Read,132,132,132,132,132,Number of Observations Read,132,Expression
