FBgn,Dependent,Source,DF,SS,MS,FValue,ProbF
FBgn0000229,Expression,Model,65,191229,2942,12.39,2.37878E-20
FBgn0000229,Expression,Error,66,15667,237,_,_
FBgn0000229,Expression,Corrected Total,131,206896,_,_,_
FBgn0000233,Expression,Model,65,2047,31,1.26,1.76357E-01
FBgn0000233,Expression,Error,66,1650,25,_,_
FBgn0000233,Expression,Corrected Total,131,3697,_,_,_
FBgn0000239,Expression,Model,65,739692,11380,12.57,1.59423E-20
FBgn0000239,Expression,Error,66,59750,905,_,_
FBgn0000239,Expression,Corrected Total,131,799441,_,_,_
FBgn0000241,Expression,Model,65,32166,495,7.63,1.13256E-14
FBgn0000241,Expression,Error,66,4280,65,_,_
FBgn0000241,Expression,Corrected Total,131,36445,_,_,_
FBgn0000244,Expression,Model,65,305154,4695,22.67,4.84006E-28
FBgn0000244,Expression,Error,66,13668,207,_,_
FBgn0000244,Expression,Corrected Total,131,318823,_,_,_
FBgn0000246,Expression,Model,65,37685,580,3.37,9.23355E-07
FBgn0000246,Expression,Error,66,11344,172,_,_
FBgn0000246,Expression,Corrected Total,131,49030,_,_,_
FBgn0000247,Expression,Model,65,29093,448,0.88,7.01359E-01
FBgn0000247,Expression,Error,66,33685,510,_,_
FBgn0000247,Expression,Corrected Total,131,62779,_,_,_
FBgn0000250,Expression,Model,65,1106496,17023,9.01,1.47076E-16
FBgn0000250,Expression,Error,66,124631,1888,_,_
FBgn0000250,Expression,Corrected Total,131,1231127,_,_,_
FBgn0000251,Expression,Model,65,558259,8589,17.31,1.53670E-24
FBgn0000251,Expression,Error,66,32746,496,_,_
FBgn0000251,Expression,Corrected Total,131,591005,_,_,_
FBgn0000253,Expression,Model,65,23878110,367356,3.67,1.86570E-07
FBgn0000253,Expression,Error,66,6604748,100072,_,_
FBgn0000253,Expression,Corrected Total,131,30482858,_,_,_
FBgn0000256,Expression,Model,65,2298676,35364,8.08,2.59023E-15
FBgn0000256,Expression,Error,66,288796,4376,_,_
FBgn0000256,Expression,Corrected Total,131,2587472,_,_,_
FBgn0000257,Expression,Model,65,45253,696,26.42,4.56892E-30
FBgn0000257,Expression,Error,66,1739,26,_,_
FBgn0000257,Expression,Corrected Total,131,46993,_,_,_
FBgn0000259,Expression,Model,65,239194,3680,4.61,1.74562E-09
FBgn0000259,Expression,Error,66,52681,798,_,_
FBgn0000259,Expression,Corrected Total,131,291875,_,_,_
FBgn0000261,Expression,Model,65,21082113,324340,20.68,7.72819E-27
FBgn0000261,Expression,Error,66,1035169,15684,_,_
FBgn0000261,Expression,Corrected Total,131,22117282,_,_,_
FBgn0000273,Expression,Model,65,2065795,31781,5.28,8.57957E-11
FBgn0000273,Expression,Error,66,397273,6019,_,_
FBgn0000273,Expression,Corrected Total,131,2463068,_,_,_
FBgn0000274,Expression,Model,65,156978,2415,5.42,4.65613E-11
FBgn0000274,Expression,Error,66,29394,445,_,_
FBgn0000274,Expression,Corrected Total,131,186372,_,_,_
FBgn0000276,Expression,Model,65,744894,11460,1.63,2.43045E-02
FBgn0000276,Expression,Error,66,462820,7012,_,_
FBgn0000276,Expression,Corrected Total,131,1207714,_,_,_
FBgn0000277,Expression,Model,65,411574,6332,1.84,7.52217E-03
FBgn0000277,Expression,Error,66,227734,3451,_,_
FBgn0000277,Expression,Corrected Total,131,639308,_,_,_
FBgn0000278,Expression,Model,65,1230,19,2.41,2.29791E-04
FBgn0000278,Expression,Error,66,517,8,_,_
FBgn0000278,Expression,Corrected Total,131,1747,_,_,_
FBgn0000279,Expression,Model,65,44952,692,2.38,2.86924E-04
FBgn0000279,Expression,Error,66,19196,291,_,_
FBgn0000279,Expression,Corrected Total,131,64148,_,_,_
FBgn0000281,Expression,Model,65,169,3,2.47,1.64107E-04
FBgn0000281,Expression,Error,66,69,1,_,_
FBgn0000281,Expression,Corrected Total,131,238,_,_,_
FBgn0000283,Expression,Model,65,1748078,26894,8.06,2.80830E-15
FBgn0000283,Expression,Error,66,220307,3338,_,_
FBgn0000283,Expression,Corrected Total,131,1968386,_,_,_
FBgn0000286,Expression,Model,65,537870,8275,7.71,8.71226E-15
FBgn0000286,Expression,Error,66,70831,1073,_,_
FBgn0000286,Expression,Corrected Total,131,608701,_,_,_
FBgn0000287,Expression,Model,65,16273,250,4.10,2.10753E-08
FBgn0000287,Expression,Error,66,4034,61,_,_
FBgn0000287,Expression,Corrected Total,131,20307,_,_,_
FBgn0000289,Expression,Model,65,618716,9519,6.98,1.07808E-13
FBgn0000289,Expression,Error,66,89995,1364,_,_
FBgn0000289,Expression,Corrected Total,131,708711,_,_,_
FBgn0000299,Expression,Model,65,2490094,38309,5.50,3.38824E-11
FBgn0000299,Expression,Error,66,459893,6968,_,_
FBgn0000299,Expression,Corrected Total,131,2949987,_,_,_
FBgn0000303,Expression,Model,65,102141,1571,12.26,3.24111E-20
FBgn0000303,Expression,Error,66,8461,128,_,_
FBgn0000303,Expression,Corrected Total,131,110601,_,_,_
FBgn0000307,Expression,Model,65,172314,2651,3.39,8.57239E-07
FBgn0000307,Expression,Error,66,51663,783,_,_
FBgn0000307,Expression,Corrected Total,131,223977,_,_,_
FBgn0000308,Expression,Model,65,874261,13450,1.32,1.29300E-01
FBgn0000308,Expression,Error,66,670616,10161,_,_
FBgn0000308,Expression,Corrected Total,131,1544878,_,_,_
FBgn0000316,Expression,Model,65,362105,5571,32.81,5.66550E-33
FBgn0000316,Expression,Error,66,11206,170,_,_
FBgn0000316,Expression,Corrected Total,131,373311,_,_,_
FBgn0000317,Expression,Model,65,297197,4572,6.77,2.32834E-13
FBgn0000317,Expression,Error,66,44589,676,_,_
FBgn0000317,Expression,Corrected Total,131,341785,_,_,_
FBgn0000318,Expression,Model,65,92819,1428,1.38,9.62755E-02
FBgn0000318,Expression,Error,66,68187,1033,_,_
FBgn0000318,Expression,Corrected Total,131,161006,_,_,_
FBgn0000319,Expression,Model,65,3332080,51263,10.93,7.91249E-19
FBgn0000319,Expression,Error,66,309522,4690,_,_
FBgn0000319,Expression,Corrected Total,131,3641603,_,_,_
FBgn0000320,Expression,Model,65,68261,1050,18.74,1.47336E-25
FBgn0000320,Expression,Error,66,3699,56,_,_
FBgn0000320,Expression,Corrected Total,131,71960,_,_,_
FBgn0000326,Expression,Model,65,9733,150,6.50,6.26521E-13
FBgn0000326,Expression,Error,66,1520,23,_,_
FBgn0000326,Expression,Corrected Total,131,11253,_,_,_
FBgn0000330,Expression,Model,65,14228,219,6.73,2.64741E-13
FBgn0000330,Expression,Error,66,2146,33,_,_
FBgn0000330,Expression,Corrected Total,131,16374,_,_,_
FBgn0000339,Expression,Model,65,12360,190,1.25,1.87910E-01
FBgn0000339,Expression,Error,66,10075,153,_,_
FBgn0000339,Expression,Corrected Total,131,22434,_,_,_
FBgn0000346,Expression,Model,65,1034269,15912,19.62,3.73096E-26
FBgn0000346,Expression,Error,66,53525,811,_,_
