Genes,Day5,Day7,Day14,Day21,Day28,Day35,Day42,Day49,Day56,Day63,Day70
FBgn0250871,43.89314,34.99477,34.53759,33.89912,41.37857,42.77575,45.97677,49.26985,44.40352,49.19161,55.07863
FBgn0250874,59.03874,46.79345,43.12271,45.89942,41.79933,42.09515,42.07533,40.7307,41.47831,37.32504,37.22334
FBgn0250906,299.4235,179.44,140.5769,140.5715,113.5774,111.6383,111.88,120.5283,130.9973,134.962,111.7929
FBgn0259101,129.3924,110.91203,91.52871,99.66111,61.30863,51.10859,47.09132,45.41761,40.57246,43.97246,36.74516
FBgn0259111,135.3007,134.3322,139.7816,139.0638,141.5424,142.3878,143.9588,139.7685,131.322,127.2937,136.3795
FBgn0259150,27.00277,23.43929,23.63448,18.91029,20.56397,18.23955,14.33739,13.43461,13.94795,12.20422,13.95681
FBgn0259164,9.470962,6.119325,4.539455,4.371966,4.470666,3.54527,4.705746,5.418997,4.556525,5.558779,5.342392
FBgn0259175,81.14312,78.46075,84.53386,74.5799,90.24554,87.71,86.50079,87.89855,83.65261,86.83698,81.99944
FBgn0259209,223.669,140.8478,117.0903,113.4663,117.4239,131.4024,133.3111,139.3381,130.5528,132.4021,126.4146
FBgn0259215,3.153967,1.985979,2.180683,2.252972,2.061432,2.051593,1.96838,2.465899,2.51078,2.862285,3.024644
FBgn0259219,46.88611,36.20327,28.06507,23.49302,23.35752,24.3385,18.11402,14.62778,13.66512,12.20689,13.04192
FBgn0259233,4.222601,3.929024,3.249004,3.105649,3.202898,3.189223,3.114438,3.778372,3.699588,4.162119,3.938664
FBgn0259239,27.8893,24.30106,23.04763,17.06555,21.19148,18.22723,14.09278,12.72225,11.55523,11.31231,12.69472
FBgn0259241,5.678627,5.481542,5.414795,4.813151,5.112617,5.073068,4.278948,3.416553,4.190223,4.169366,4.917006
FBgn0259243,136.8619,137.0181,152.3201,122.0343,144.9335,150.0391,124.2083,108.931,108.2227,104.8939,120.2552
FBgn0259680,65.1366,59.37208,57.8976,39.64183,49.82355,50.18417,36.61709,29.65408,24.78312,22.75114,25.87409
FBgn0259683,2.418037,1.957492,2.109787,1.89249,3.297687,2.559677,2.655865,2.696891,3.337582,3.745908,3.972851
FBgn0259697,2.979736,2.892638,3.305263,2.644696,4.93895,4.8908,5.711834,4.426135,5.855456,4.99553,6.162864
FBgn0259707,13.673753,14.016921,11.047622,10.433841,10.599231,10.393925,8.871414,8.562758,9.03968,7.010529,7.740279
FBgn0259711,12.50406,14.48736,16.52566,16.5581,17.77724,18.5356,19.36211,20.07919,18.26657,21.95361,25.82659
FBgn0259716,23.07176,19.81337,19.82822,19.64332,17.47914,20.08218,19.68627,26.48144,29.72438,29.87688,29.17057
FBgn0259722,29.48683,25.75105,24.63655,23.81816,19.69431,19.4742,19.03475,18.89035,18.33935,18.09659,19.03442
FBgn0259831,2.574939,1.859808,2.143403,1.607381,1.323612,1.534253,1.707145,1.564817,1.463861,1.17009,1.225735
FBgn0259918,22.04318,22.78684,28.86125,26.17284,24.73075,23.93227,17.37803,19.54015,15.8019,14.54853,16.7593
FBgn0259985,84.31203,82.12713,86.67805,83.02592,79.14812,75.16668,64.74046,61.179,59.70095,54.00061,60.61826
FBgn0259998,555.23149,367.44467,373.15481,367.74987,226.46851,195.62124,165.7316,128.75042,120.05608,87.84058,75.2604
FBgn0260000,2.066514,2.566421,3.521791,4.395235,4.259255,3.578327,3.366588,2.417771,1.646841,1.370965,1.117719
FBgn0260004,63.63184,73.87135,96.54707,112.18205,126.27733,143.65571,149.34042,145.96854,124.32905,162.63146,190.1363
FBgn0260008,142.84876,112.14413,95.90613,80.68061,78.25454,74.12216,75.22982,66.60629,64.73728,68.92641,59.90844
FBgn0260011,2.019576,1.206126,0.962741,0.685647,0.911701,1.137823,0.709693,2.883089,6.422636,3.601221,4.818721
FBgn0260388,36.95645,36.75124,33.73499,32.25121,28.36623,30.14563,30.42247,28.92792,29.80788,29.89164,29.49531
FBgn0260393,1.233877,1.744402,1.960709,2.403777,3.146479,4.24747,3.932333,4.342937,5.328499,4.96545,5.899296
FBgn0260429,15.32229,16.31222,20.1958,16.44934,17.55882,17.26906,15.59615,13.95143,12.46229,10.06397,12.06485
FBgn0260437,0.890273,0.72043,1.458396,1.012355,1.432372,1.416827,1.263378,0.71791,0.859804,0.937632,1.031107
FBgn0260474,21.7446,16.72015,11.81884,14.19809,23.96138,17.91459,24.46387,30.9429,29.97981,32.61655,30.28135
FBgn0260479,2.179572,1.110781,1.150522,1.076584,0.946493,1.363293,1.248554,1.372585,1.154046,1.30142,1.545422
FBgn0260499,73.59049,67.00691,82.37383,66.48581,67.30265,64.77515,54.90112,42.30227,40.36912,35.94279,45.63639
